open,high,low,close,volume
2020-01-02 09:30:00-05:00,140.07,140.14,139.52,139.67,29953
2020-01-02 09:45:00-05:00,139.675,139.91,139.44,139.67,24343
2020-01-02 10:00:00-05:00,139.635,139.81,139.52,139.64,19021
2020-01-02 10:15:00-05:00,139.6,139.6,139.34,139.4,18856
2020-01-02 10:30:00-05:00,139.46,139.54,139.28,139.535,19695
2020-01-02 10:45:00-05:00,139.55,139.94,139.48,139.92,20856
2020-01-02 11:00:00-05:00,139.92,140.06,139.875,140.06,33738
2020-01-02 11:15:00-05:00,140.055,140.155,139.99,140.135,17093
2020-01-02 11:30:00-05:00,140.13,140.27,140.05,140.27,17413
2020-01-02 11:45:00-05:00,140.27,140.52,140.235,140.49,17706
2020-01-02 12:00:00-05:00,140.49,140.61,140.465,140.51,15442
2020-01-02 12:15:00-05:00,140.51,140.76,140.47,140.61,10941
2020-01-02 12:30:00-05:00,140.64,140.76,140.55,140.73,14195
2020-01-02 12:45:00-05:00,140.72,140.72,140.53,140.6,10077
2020-01-02 13:00:00-05:00,140.55,140.57,140.305,140.36,8862
2020-01-02 13:15:00-05:00,140.35,140.43,140.32,140.38,15457
2020-01-02 13:30:00-05:00,140.4,140.41,140.245,140.355,18416
2020-01-02 13:45:00-05:00,140.37,140.46,140.275,140.355,17820
2020-01-02 14:00:00-05:00,140.355,140.565,140.355,140.545,20409
2020-01-02 14:15:00-05:00,140.575,140.77,140.525,140.73,20048
2020-01-02 14:30:00-05:00,140.745,140.87,140.69,140.87,13698
2020-01-02 14:45:00-05:00,140.845,140.98,140.8,140.98,22353
2020-01-02 15:00:00-05:00,140.96,140.985,140.865,140.87,70068
2020-01-02 15:15:00-05:00,140.865,140.89,140.78,140.82,75963
2020-01-02 15:30:00-05:00,140.815,140.91,140.775,140.84,20290
2020-01-02 15:45:00-05:00,140.82,141.06,140.79,141.06,144672
2020-01-03 09:30:00-05:00,137.34,138.37,137.3,138.055,59857
2020-01-03 09:45:00-05:00,138.08,138.33,137.97,138.21,30184
2020-01-03 10:00:00-05:00,138.1,138.1,137.59,138.015,11921
2020-01-03 10:15:00-05:00,138.0,138.225,137.86,138.21,31879
2020-01-03 10:30:00-05:00,138.26,138.42,138.21,138.395,8107
2020-01-03 10:45:00-05:00,138.435,138.435,138.13,138.345,7302
2020-01-03 11:00:00-05:00,138.39,138.42,138.1,138.4,5904
2020-01-03 11:15:00-05:00,138.38,138.55,138.32,138.455,3991
2020-01-03 11:30:00-05:00,138.53,138.77,138.53,138.77,8160
2020-01-03 11:45:00-05:00,138.76,138.81,138.69,138.7,5720
2020-01-03 12:00:00-05:00,138.74,139.055,138.74,138.84,4154
2020-01-03 12:15:00-05:00,138.84,139.0,138.84,138.97,3478
2020-01-03 12:30:00-05:00,138.95,139.085,138.93,139.02,3480
2020-01-03 12:45:00-05:00,139.06,139.17,138.985,139.17,5531
2020-01-03 13:00:00-05:00,139.14,139.22,139.07,139.07,3954
2020-01-03 13:15:00-05:00,139.05,139.085,138.98,139.08,3774
2020-01-03 13:30:00-05:00,139.09,139.115,138.385,138.8,14640
2020-01-03 13:45:00-05:00,138.77,138.86,138.7,138.765,7150
2020-01-03 14:00:00-05:00,138.775,138.845,138.62,138.63,5029
2020-01-03 14:15:00-05:00,138.64,138.74,138.48,138.56,4863
2020-01-03 14:30:00-05:00,138.615,138.755,138.555,138.755,5797
2020-01-03 14:45:00-05:00,138.78,138.825,138.72,138.735,155715
2020-01-03 15:00:00-05:00,138.73,138.83,138.64,138.67,10189
2020-01-03 15:15:00-05:00,138.67,138.685,138.51,138.615,8180
2020-01-03 15:30:00-05:00,138.605,138.725,138.49,138.71,18404
2020-01-03 15:45:00-05:00,138.7,138.73,138.34,138.36,46261
2020-01-06 09:30:00-05:00,136.59,137.115,136.51,137.11,23867
2020-01-06 09:45:00-05:00,137.12,137.325,137.05,137.16,9765
2020-01-06 10:00:00-05:00,137.13,137.37,137.09,137.265,8494
2020-01-06 10:15:00-05:00,137.28,137.54,137.23,137.54,9108
2020-01-06 10:30:00-05:00,137.575,137.59,137.38,137.52,9509
